"","ballot_ID","state","county","voted_2016","student_loan","faminc","child_u18","followed_event_fb","education","employment","social_media","marital_status","home_owner_status","voted_2012","birth_year","vote_method","health_insurance"
"1","35235","New Hampshire","Hillsborough NH","republican","no",32,"no",NA,"highschool","other","No","Married","own",NA,NA,"in person ","no"
"2","59595","Colorado","Larimer CO","democrat","no",7,"yes","No","undergraduate","employed","Yes","Married","own","democrat",NA,"in person","no"
"3","39250","Pennsylvania","Clearfield PA",NA,NA,1,"yes","No","no_highschool","unemployed","Yes","Separated","rent",NA,NA,NA,"yes"
"4","79507","Georgia","Murray GA","republican","no",4,"yes","No","highschool","unemployed","Yes","Married","own","republican",NA,"in person ","no"
"5","00909","Pennsylvania","Lancaster PA","republican","no",7,"no","No","highschool","employed","Yes","Married","own","republican",NA,"in person ","no"
"6","18431","Florida","Pasco FL",NA,"no",2,"yes","No","highschool","other","Yes","Married","other",NA,NA,NA,"yes"
"7","56271","Pennsylvania","Philadelphia PA",NA,"no",1,"no","No","highschool","unemployed","Yes","Single","rent","democrat",NA,"in person ","no"
"8","36068","Florida","Broward FL","republican","no",2,"no","No","highschool","retired","Yes","Divorced","rent","republican",NA,"by mail","yes"
"9","52764","Florida","Sarasota FL",NA,"no",6,"no","No","undergraduate","employed","Yes","Married","own",NA,NA,NA,"no"
"10","41343","North Carolina","Davidson NC",NA,"no",2,"yes","No","no_highschool","employed","Yes","Separated","rent",NA,NA,NA,"no"
"11","05160","Michigan","Mason MI","democrat","no",4,"no","No","highschool","employed","Yes","Domestic partnership","own","democrat",NA,"in person ","no"
"12","74332","Arizona","Yavapai AZ","republican","no",4,"no",NA,"postgraduate","retired","No","Divorced","own","democrat",NA,"by mail","yes"
"13","29503","Pennsylvania","Washington PA",NA,"no",7,"yes","No","highschool","other","Yes","Married","own",NA,NA,NA,"no"
"14","31389","Michigan","Macomb MI","republican","yes",3,"yes","No","highschool","other","Yes","Separated","rent","democrat",NA,"in person ","yes"
"15","98578","Virginia","Fairfax VA",NA,"no",32,"no","No","highschool","employed","Yes","Single","other",NA,NA,NA,"no"
"16","03850","Michigan","Marquette MI","democrat","no",4,"no",NA,"postgraduate","employed","No","Married","own","democrat",NA,"in person ","no"
"17","19954","Florida","Brevard FL","democrat","no",32,"no","Yes","undergraduate","other","Yes","Married","own","democrat",NA,"in person","yes"
"18","50153","Nevada","Clark NV","democrat","no",8,"no",NA,"postgraduate","retired","No","Married","own","democrat",NA,"in person","yes"
"19","47367","North Carolina","Caldwell NC","democrat","no",32,"no","No","undergraduate","retired","Yes","Married","own","republican",NA,"in person","no"
"20","68708","Wisconsin","Grant WI","democrat","no",7,"no","No","undergraduate","employed","Yes","Married","own","democrat",NA,"in person ","no"
"21","51614","Nevada","Lyon NV","democrat","no",8,"no","No","highschool","employed","Yes","Divorced","own","democrat",NA,"in person ","no"
"22","32978","Michigan","Oakland MI","republican","no",3,"no",NA,"undergraduate","employed","No","Widowed","own","republican",NA,"in person ","no"
"23","46657","Pennsylvania","Juniata PA",NA,NA,6,"yes","No","highschool","employed","Yes","Domestic partnership","rent",NA,NA,NA,"yes"
"24","05730","Pennsylvania","Mercer PA",NA,"no",3,"yes","No","highschool","unemployed","Yes","Separated","rent","republican",NA,NA,"yes"
"25","71773","Florida","Volusia FL","democrat","yes",3,"no","No","highschool","employed","Yes","Divorced","own","democrat",NA,"by mail","no"
"26","43694","Florida","Broward FL","republican","no",8,"no","Yes","highschool","other","Yes","Single","own","republican",NA,"by mail","yes"
"27","33840","North Carolina","Onslow NC","democrat","no",4,"no","No","highschool","employed","Yes","Single","own","democrat",NA,"in person","no"
"28","84963","Virginia","Henrico VA","democrat","yes",9,"no",NA,"undergraduate","employed","No","Single","own","democrat",NA,"in person ","no"
"29","34630","Minnesota","Becker MN","democrat","yes",12,"no",NA,"postgraduate","employed","No","Married","own","democrat",NA,"by mail","no"
"30","30846","Virginia","Bristol city VA","democrat","yes",9,"yes","Yes","postgraduate","employed","Yes","Married","own","democrat",NA,"in person ","no"
"31","35558","Michigan","Oakland MI","democrat","no",4,"no",NA,"undergraduate","employed","No","Divorced","own","democrat",NA,"by mail","no"
"32","70926","Georgia","Cobb GA","democrat","no",12,"no","Yes","highschool","employed","Yes","Married","own","democrat",NA,"in person ","no"
"33","80896","Michigan","Livingston MI",NA,"yes",8,"yes","No","undergraduate","employed","Yes","Married","own","republican",NA,"by mail","no"
"34","98793","Florida","Polk FL","democrat","yes",7,"yes","No","highschool","employed","Yes","Married","own","democrat",NA,"in person","no"
